"shape_id","shape_pt_lat","shape_pt_sequence"
"4__9_A___1__IT_1","40.3972018380766","20000062"
"4__9_A___1__IT_1","40.3972027937778","20000067"
"4__9_A___1__IT_1","40.3972067920469","20000068"
"4__9_A___1__IT_1","40.3972073595276","20000061"
"4__9_A___1__IT_1","40.3972122321879","20000069"
"4__9_A___1__IT_1","40.3972152109958","20000060"
"4__9_A___1__IT_1","40.3972190205051","20000070"
"4__9_A___1__IT_1","40.3972242111404","20000059"
"4__9_A___1__IT_1","40.397227162757","20000071"
"4__9_A___1__IT_1","40.3972366621284","20000058"
"4__9_A___1__IT_1","40.3972383374817","20000072"
"4__9_A___1__IT_1","40.397245707191","20000057"
"4__9_A___1__IT_1","40.3972494459811","20000073"
"4__9_A___1__IT_1","40.3972578394292","20000056"
"4__9_A___1__IT_1","40.3972619043538","20000074"
"4__9_A___1__IT_1","40.3972737871002","20000055"
"4__9_A___1__IT_1","40.3972758012633","20000075"
"4__9_A___1__IT_1","40.3972908651725","20000076"
"4__9_A___1__IT_1","40.3972916261045","20000054"
"4__9_A___1__IT_1","40.3972968157434","20000053"
"4__9_A___1__IT_1","40.3973073718404","20000077"
"4__9_A___1__IT_1","40.3973140922869","20000052"
"4__9_A___1__IT_1","40.397325134066","20000078"
"4__9_A___1__IT_1","40.3973325436512","20000051"
"4__9_A___1__IT_1","40.3973475497923","20000079"
"4__9_A___1__IT_1","40.3973590738029","20000050"
"4__9_A___1__IT_1","40.3973643389648","20000080"
"4__9_A___1__IT_1","40.3973841394137","20000049"
"4__9_A___1__IT_1","40.3973929284065","20000081"
"4__9_A___1__IT_1","40.3974071074454","20000048"
"4__9_A___1__IT_1","40.3974197378703","20000082"
"4__9_A___1__IT_1","40.3974395115498","20000047"
"4__9_A___1__IT_1","40.397448255392","20000083"
"4__9_A___1__IT_1","40.3974607476017","20000046"
"4__9_A___1__IT_1","40.3974653310526","20000084"
"4__9_A___1__IT_1","40.3974963160907","20000045"
"4__9_A___1__IT_1","40.3974963622829","20000085"
"4__9_A___1__IT_1","40.3975197081454","20000086"
"4__9_A___1__IT_1","40.3975242569582","20000044"
"4__9_A___1__IT_1","40.3975538851665","20000087"
"4__9_A___1__IT_1","40.3975631728335","20000043"
"4__9_A___1__IT_1","40.3975896787793","20000088"
"4__9_A___1__IT_1","40.3976162568631","20000089"
"4__9_A___1__IT_1","40.3976188618045","20000042"
"4__9_A___1__IT_1","40.397648918722","20000090"
"4__9_A___1__IT_1","40.3976605799195","20000041"
"4__9_A___1__IT_1","40.3976828387427","20000091"
"4__9_A___1__IT_1","40.3977139942566","20000040"
"4__9_A___1__IT_1","40.3977178335321","20000092"
"4__9_A___1__IT_1","40.3977601703657","20000093"
"4__9_A___1__IT_1","40.3977912285186","20000094"
"4__9_A___1__IT_1","40.3978011559088","20000039"
"4__9_A___1__IT_1","40.3978295398183","20000095"
"4__9_A___1__IT_1","40.3978621183586","20000096"
"4__9_A___1__IT_1","40.3978996621787","20000038"
"4__9_A___1__IT_1","40.3979091103773","20000097"
"4__9_A___1__IT_1","40.397950373516","20000098"
"4__9_A___1__IT_1","40.3979924392516","20000099"
"4__9_A___1__IT_1","40.3980208460483","20000037"
"4__9_A___1__IT_1","40.3980210807045","20000100"
"4__9_A___1__IT_1","40.3980720935308","20000101"
"4__9_A___1__IT_1","40.3981093215787","20000102"
