"stop_id","stop_desc","stop_lat","stop_lon","location_type","wheelchair_boarding"
"acc_4_122_327","Calle de la Reina Victoria 30","40.44717","-3.70979","2","0"
"acc_4_123_328","Avda de Gregorio del Amo 8","40.44619","-3.72003","2","0"
"acc_4_123_329","Avda de la Moncloa 15","40.44664","-3.71787","2","0"
"acc_4_124_330","Plaza de Ramón y Cajal 1","40.44359","-3.72658","2","0"
"acc_4_124_331","Plaza de Ramón y Cajal 1","40.44356","-3.72697","2","0"
"acc_4_124_332","Plaza de Ramón y Cajal 1","40.44363","-3.72687","2","0"
"acc_4_127_1052","Paseo de la Florida 2","40.42086","-3.72037","2","0"
"acc_4_127_333","Paseo del Rey 12","40.42141","-3.71859","2","0"
"acc_4_127_334","Paseo de la Florida 2","40.42093","-3.72045","2","0"
"acc_4_127_336","Paseo del Rey 14","40.42153","-3.71873","2","0"
"acc_4_127_610","Custa de San Vicente 40","40.42055","-3.71968","2","0"
"acc_4_127_612","Custa de San Vicente 40","40.42084","-3.71892","2","0"
"acc_4_127_613","Gta de San Vicente 1","40.42081","-3.72012","2","0"
"acc_4_127_614","Paseo de la Florida 5","40.42137","-3.72104","2","0"
"acc_4_128_339","Plaza de Santa Cristina 2","40.41423","-3.72728","2","0"
"acc_4_128_340","Calle de Caramuel 1","40.41368","-3.72706","2","0"
"acc_4_129_341","Paseo de Extremadura 158","40.40992","-3.73905","2","0"
"acc_4_129_342","Paseo de Extremadura 147","40.4097","-3.73884","2","0"
"acc_4_12_1034","Plaza de la Puerta del Sol 13","40.41707","-3.70296","2","0"
"acc_4_12_1048","Plaza de la Puerta del Sol 5","40.41685","-3.70296","2","0"
"acc_4_12_41","Plaza de la Puerta del Sol 7","40.41665","-3.70353","2","0"
"acc_4_12_42","Plaza de la Puerta del Sol 12","40.41714","-3.70329","2","0"
"acc_4_12_43","Plaza de la Puerta del Sol 9","40.41671","-3.70458","2","0"
"acc_4_12_776","Plaza de la Puerta del Sol 8","40.41667","-3.70441","2","0"
"acc_4_12_777","Calle de Preciados 1","40.41724","-3.70415","2","0"
"acc_4_130_343","Calle de Cebreros 41","40.40477","-3.74562","2","0"
"acc_4_130_344","Calle de las Higueras 49","40.40486","-3.74505","2","0"
"acc_4_130_345","Calle de Cebreros 41","40.40477","-3.74553","2","0"
