"stop_id","stop_name"
"acc_4_272_665","Moncada"
"acc_4_272_666","Avda. Andalucía pares"
"acc_4_272_667","Ascensor"
"acc_4_273_668","Valle de Tobalina"
"acc_4_273_670","Ascensor"
"acc_4_274_693","Retablo de Melisendra"
"acc_4_275_691","Avda. Monasterio de Silos"
"acc_4_275_692","Ascensor"
"acc_4_276_689","Palas de Rey"
"acc_4_276_690","Ascensor"
"acc_4_277_687","Maestro Mateo"
"acc_4_277_688","Ascensor"
"acc_4_278_685","La Granja"
"acc_4_278_686","Ascensor"
"acc_4_279_683","Avda. Bruselas"
"acc_4_279_684","Ascensor"
"acc_4_27_90","Congosto"
"acc_4_27_91","Plaza de Congosto"
"acc_4_27_92","Ascensor"
"acc_4_280_680","Marqués de la Valdavia"
"acc_4_280_681","Ascensor"
"acc_4_281_678","Manuel de Falla"
"acc_4_281_679","Ascensor"
"acc_4_282_676","Avda. Lomas del Rey"
"acc_4_282_677","Ascensor"
"acc_4_283_674","Avda. Plaza de Toros"
"acc_4_283_675","Ascensor"
"acc_4_284_671","Poeta Rafael Morales"
"acc_4_284_672","Hospital Infanta Sofía"
"acc_4_284_673","Ascensor"
"acc_4_285_694","Terminal T4"
"acc_4_286_710","Estadio Metropolitano"
"acc_4_286_711","Estocolmo"
"acc_4_286_712","Ascensor"
"acc_4_287_708","Avda. España"
"acc_4_287_709","Ascensor"
"acc_4_288_703","Doctor Fleming"
"acc_4_288_704","Correspondencia RENFE"
"acc_4_288_706","Ascensor RENFE"
"acc_4_288_707","Ascensor"
"acc_4_289_701","Honduras"
"acc_4_289_702","Ascensor"
"acc_4_28_93","Plaza de Toros"
"acc_4_28_94","Plaza de Toros"
"acc_4_290_699","Gonzalo de Córdoba"
"acc_4_290_700","Ascensor"
"acc_4_291_697","Plaza de Guernica"
"acc_4_291_698","Ascensor"
"acc_4_292_695","Algorta"
"acc_4_292_696","Ascensor"
"acc_4_293_713","Avda. Ensanche de Vallecas"
"acc_4_293_714","Ascensor"
"acc_4_294_715","Cañada del Santísimo"
"acc_4_294_716","Ascensor"
"acc_4_295_717","Avda. Ensanche de Vallecas"
"acc_4_295_718","Ascensor"
"acc_4_296_761","Hospital del Henares"
"acc_4_296_762","Ascensor exterior"
"acc_4_29_95","D. Ramón de la Cruz"
"acc_4_29_96","Doctor Esquerdo"
"acc_4_2_5","Capitán Blanco Argibay"
"acc_4_2_6","Aníbal"
"acc_4_300_815","Concepción Arenal"
"acc_4_300_816","Marie Curie"
"acc_4_300_817","Ascensor exterior"
"acc_4_305_1045","San José"
"acc_4_305_1046","Ascensor Exterior"
"acc_4_30_100","Felipe II impares"
"acc_4_30_101","General Díaz Porlier"
"acc_4_30_778","Ascensor ext nº4 a A2 L4"
"acc_4_30_779","Ascensor ext nº5 a A2 L4"
"acc_4_30_780","Ascensor ext nº2 a A1 L2"
"acc_4_30_781","Ascensor ext nº3 a A1 L2"
"acc_4_30_782","Ascensor exterior"
"acc_4_30_97","Conde de Peñalver pares"
"acc_4_30_98","Conde de Peñalver impares"
"acc_4_30_99","Felipe II pares"
"acc_4_31_103","Alcalá"
"acc_4_322_1058","Arriaga"
"acc_4_322_1059","Ascensor Exterior"
"acc_4_323_1060","Acceso Intercambiador"
"acc_4_323_1061","Ascensor Exterior Nº1"
"acc_4_323_1062","Avenida de Guadalajara"
"acc_4_323_1063","Ascensor Exterior Nº 2"
"acc_4_324_1064","Dresde"
"acc_4_324_1065","Ascensor Exterior"
"acc_4_325_1066","Paseo de Ginebra"
"acc_4_325_1067","Ascensor Exterior"
"acc_4_326_1068","Mirasierra"
"acc_4_326_1069","Ascensor Exterior"
"acc_4_32_104","Lagasca"
"acc_4_32_105","Rampa"
"acc_4_32_106","Retiro"
"acc_4_32_107","Claudio Coello"
"acc_4_33_108","Palacio de Buenavista"
"acc_4_33_109","Banco de España"
"acc_4_33_110","Marqués de Cubas"
"acc_4_33_111","Barquillo"
"acc_4_345_1075","Paco de Lucía"
"acc_4_345_1076","Ascensor Exterior"
"acc_4_34_112","Sevilla"
"acc_4_34_113","Virgen de los Peligros"
"acc_4_34_114","Iglesia de las Calatravas"
"acc_4_36_1054","Arenal"
"acc_4_36_1056","Campomanes"
"acc_4_36_1057","Ascensor"
"acc_4_37_116","Santo Domingo"
"acc_4_37_117","Gran Vía"
"acc_4_38_118","Ministerio de Justicia"
"acc_4_38_119","Noviciado"
"acc_4_39_120","Alberto Aguilera"
"acc_4_39_121","Carranza"
"acc_4_3_7","Algodonales"
"acc_4_3_8","General Margallo"
"acc_4_40_122","Arapiles"
"acc_4_40_123","Fuencarral"
"acc_4_41_124","Bravo Murillo pares"
"acc_4_41_125","Bravo Murillo impares"
"acc_4_41_126","Ascensor"
"acc_4_43_127","Plaza de Legazpi"
"acc_4_43_128","Beata María Ana de Jesús"
"acc_4_43_783","Plaza de Legazpi esquina Bolivar"
"acc_4_43_784","Ascensor"
"acc_4_44_129","Cáceres"
"acc_4_44_130","Ciudad Real"
"acc_4_44_785","Pº de las Delicias impares"
"acc_4_44_786","Ascensor"
"acc_4_45_131","Paseo de las Delicias"
"acc_4_45_787","Palos de la Frontera impares"
"acc_4_45_788","Ascensor"
"acc_4_46_136","Embajadores"
