"interaction","gene","title","cosmid"
"","http://bio2rdf.org/wormbase:WBGene00165056","WBGene00165056 (21ur-13558)","ZK616.23"
"","http://bio2rdf.org/wormbase:WBGene00165057","WBGene00165057 (21ur-10440)","F55B11.61"
"","http://bio2rdf.org/wormbase:WBGene00165058","WBGene00165058 (21ur-13038)","Y105C5A.518"
"","http://bio2rdf.org/wormbase:WBGene00165059","WBGene00165059 (21ur-11728)","Y40C5A.6"
"","http://bio2rdf.org/wormbase:WBGene00165060","WBGene00165060 (21ur-14285)","Y73F8A.502"
"","http://bio2rdf.org/wormbase:WBGene00165061","WBGene00165061 (21ur-8284)","F35D6.3"
"","http://bio2rdf.org/wormbase:WBGene00165062","WBGene00165062 (21ur-8433)","Y41E3.216"
"","http://bio2rdf.org/wormbase:WBGene00165063","WBGene00165063 (21ur-14301)","R05A10.63"
"","http://bio2rdf.org/wormbase:WBGene00165064","WBGene00165064 (21ur-12835)","Y45F10D.60"
"","http://bio2rdf.org/wormbase:WBGene00165065","WBGene00165065 (21ur-10741)","Y57G11A.84"
"","http://bio2rdf.org/wormbase:WBGene00165066","WBGene00165066 (21ur-7502)","F41H10.13"
"","http://bio2rdf.org/wormbase:WBGene00165067","WBGene00165067 (21ur-10237)","C50F7.11"
"","http://bio2rdf.org/wormbase:WBGene00165068","WBGene00165068 (21ur-9218)","T27E7.38"
"","http://bio2rdf.org/wormbase:WBGene00165069","WBGene00165069 (21ur-8833)","LLC1.47"
"","http://bio2rdf.org/wormbase:WBGene00165070","WBGene00165070 (21ur-12888)","F55B11.62"
"","http://bio2rdf.org/wormbase:WBGene00165071","WBGene00165071 (21ur-6770)","F58F9.12"
"","http://bio2rdf.org/wormbase:WBGene00165072","WBGene00165072 (21ur-7604)","Y105C5B.615"
"","http://bio2rdf.org/wormbase:WBGene00165073","WBGene00165073 (21ur-8215)","Y73F8A.503"
"","http://bio2rdf.org/wormbase:WBGene00165074","WBGene00165074 (21ur-7800)","Y105C5B.616"
"","http://bio2rdf.org/wormbase:WBGene00165075","WBGene00165075 (21ur-13468)","Y41E3.217"
"","http://bio2rdf.org/wormbase:WBGene00165076","WBGene00165076 (21ur-12485)","K03B8.12"
"","http://bio2rdf.org/wormbase:WBGene00165077","WBGene00165077 (21ur-11811)","B0478.4"
"","http://bio2rdf.org/wormbase:WBGene00165078","WBGene00165078 (21ur-10445)","Y105C5A.519"
"","http://bio2rdf.org/wormbase:WBGene00165079","WBGene00165079 (21ur-10064)","Y73F8A.504"
"","http://bio2rdf.org/wormbase:WBGene00165080","WBGene00165080 (21ur-14832)","F44E8.16"
"","http://bio2rdf.org/wormbase:WBGene00165081","WBGene00165081 (21ur-8247)","Y105C5B.617"
"","http://bio2rdf.org/wormbase:WBGene00165082","WBGene00165082 (21ur-15040)","Y73F8A.505"
"","http://bio2rdf.org/wormbase:WBGene00165083","WBGene00165083 (21ur-12052)","LLC1.48"
"","http://bio2rdf.org/wormbase:WBGene00165084","WBGene00165084 (21ur-12165)","B0478.5"
"","http://bio2rdf.org/wormbase:WBGene00165085","WBGene00165085 (21ur-5762)","Y10G11A.31"
"","http://bio2rdf.org/wormbase:WBGene00165086","WBGene00165086 (21ur-9405)","H32C10.28"
"","http://bio2rdf.org/wormbase:WBGene00165087","WBGene00165087 (21ur-11486)","ZK550.22"
"","http://bio2rdf.org/wormbase:WBGene00165088","WBGene00165088 (21ur-7598)","Y51H4A.409"
"","http://bio2rdf.org/wormbase:WBGene00165089","WBGene00165089 (21ur-6929)","C46G7.36"
"","http://bio2rdf.org/wormbase:WBGene00165090","WBGene00165090 (21ur-6337)","C55C3.31"
"","http://bio2rdf.org/wormbase:WBGene00165091","WBGene00165091 (21ur-13449)","Y116A8B.34"
"","http://bio2rdf.org/wormbase:WBGene00165092","WBGene00165092 (21ur-15148)","F07A11.7"
"","http://bio2rdf.org/wormbase:WBGene00165093","WBGene00165093 (21ur-13001)","K02B2.20"
"","http://bio2rdf.org/wormbase:WBGene00165094","WBGene00165094 (21ur-7868)","C24D10.23"
"","http://bio2rdf.org/wormbase:WBGene00165095","WBGene00165095 (21ur-12977)","F36F2.9"
"","http://bio2rdf.org/wormbase:WBGene00165096","WBGene00165096 (21ur-10593)","Y45F10B.31"
"","http://bio2rdf.org/wormbase:WBGene00165097","WBGene00165097 (21ur-14473)","Y116A8B.35"
"","http://bio2rdf.org/wormbase:WBGene00165098","WBGene00165098 (21ur-12443)","Y57G11A.85"
"","http://bio2rdf.org/wormbase:WBGene00165099","WBGene00165099 (21ur-12966)","Y64G10A.167"
"","http://bio2rdf.org/wormbase:WBGene00165100","WBGene00165100 (21ur-7671)","B0513.43"
"","http://bio2rdf.org/wormbase:WBGene00165101","WBGene00165101 (21ur-5834)","Y73F8A.506"
"","http://bio2rdf.org/wormbase:WBGene00165102","WBGene00165102 (21ur-14042)","Y64G10A.168"
"","http://bio2rdf.org/wormbase:WBGene00165103","WBGene00165103 (21ur-6785)","Y116A8C.201"
"","http://bio2rdf.org/wormbase:WBGene00165104","WBGene00165104 (21ur-14476)","Y73F8A.507"
"","http://bio2rdf.org/wormbase:WBGene00165105","WBGene00165105 (21ur-6752)","Y40H7A.153"
"","http://bio2rdf.org/wormbase:WBGene00165106","WBGene00165106 (21ur-12329)","Y73F8A.508"
"","http://bio2rdf.org/wormbase:WBGene00165107","WBGene00165107 (21ur-9451)","Y73F8A.509"
"","http://bio2rdf.org/wormbase:WBGene00165108","WBGene00165108 (21ur-7545)","M199.69"
"","http://bio2rdf.org/wormbase:WBGene00165109","WBGene00165109 (21ur-14626)","Y73F8A.510"
"","http://bio2rdf.org/wormbase:WBGene00165110","WBGene00165110 (21ur-9149)","Y57G11C.502"
"","http://bio2rdf.org/wormbase:WBGene00165111","WBGene00165111 (21ur-8793)","Y105C5A.520"
"","http://bio2rdf.org/wormbase:WBGene00165112","WBGene00165112 (21ur-14003)","C35D6.61"
"","http://bio2rdf.org/wormbase:WBGene00165113","WBGene00165113 (21ur-7398)","Y51H4A.410"
"","http://bio2rdf.org/wormbase:WBGene00165114","WBGene00165114 (21ur-6548)","C09B9.23"
"","http://bio2rdf.org/wormbase:WBGene00165115","WBGene00165115 (21ur-9100)","Y105C5B.618"
"","http://bio2rdf.org/wormbase:WBGene00165116","WBGene00165116 (21ur-10948)","Y45F10D.61"
"","http://bio2rdf.org/wormbase:WBGene00165117","WBGene00165117 (21ur-12069)","Y57G11C.503"
"","http://bio2rdf.org/wormbase:WBGene00165118","WBGene00165118 (21ur-6403)","M199.70"
"","http://bio2rdf.org/wormbase:WBGene00165119","WBGene00165119 (21ur-15553)","Y41E3.218"
"","http://bio2rdf.org/wormbase:WBGene00165120","WBGene00165120 (21ur-8717)","Y51H4A.411"
"","http://bio2rdf.org/wormbase:WBGene00165121","WBGene00165121 (21ur-9420)","Y57G11C.504"
"","http://bio2rdf.org/wormbase:WBGene00165122","WBGene00165122 (21ur-7774)","Y41E3.219"
"","http://bio2rdf.org/wormbase:WBGene00165123","WBGene00165123 (21ur-10345)","Y73F8A.511"
"","http://bio2rdf.org/wormbase:WBGene00165124","WBGene00165124 (21ur-9891)","Y105C5B.619"
"","http://bio2rdf.org/wormbase:WBGene00165125","WBGene00165125 (21ur-14703)","Y59E9AL.15"
"","http://bio2rdf.org/wormbase:WBGene00165126","WBGene00165126 (21ur-12382)","F38C2.48"
"","http://bio2rdf.org/wormbase:WBGene00165127","WBGene00165127 (21ur-5618)","Y57G11C.505"
"","http://bio2rdf.org/wormbase:WBGene00165128","WBGene00165128 (21ur-7333)","Y73F8A.512"
"","http://bio2rdf.org/wormbase:WBGene00165129","WBGene00165129 (21ur-8730)","Y4C6A.21"
"","http://bio2rdf.org/wormbase:WBGene00165130","WBGene00165130 (21ur-14035)","Y73F8A.513"
"","http://bio2rdf.org/wormbase:WBGene00165131","WBGene00165131 (21ur-14406)","Y116A8C.202"
"","http://bio2rdf.org/wormbase:WBGene00165132","WBGene00165132 (21ur-6107)","Y40H7A.154"
"","http://bio2rdf.org/wormbase:WBGene00165133","WBGene00165133 (21ur-12538)","Y41E3.220"
"","http://bio2rdf.org/wormbase:WBGene00165134","WBGene00165134 (21ur-11762)","H32C10.29"
"","http://bio2rdf.org/wormbase:WBGene00165135","WBGene00165135 (21ur-10836)","Y105C5A.521"
"","http://bio2rdf.org/wormbase:WBGene00165136","WBGene00165136 (21ur-8989)","T13F2.13"
"","http://bio2rdf.org/wormbase:WBGene00165137","WBGene00165137 (21ur-15419)","Y57G11C.506"
