"stop_id","stop_name","location_type","parent_station"
"acc_4_214_514","Paseo de la Estación","2","est_4_214"
"acc_4_214_515","Ascensor exterior RENFE 1","2","est_4_214"
"acc_4_214_586","Goya","2","est_4_214"
"acc_4_214_587","Ascensor exterior RENFE 2","2","est_4_214"
"acc_4_215_516","Pza. de Pradillo","2","est_4_215"
"acc_4_215_517","Ascensor","2","est_4_215"
"acc_4_216_518","Río Ebro - Río Sella","2","est_4_216"
"acc_4_216_519","Ascensor","2","est_4_216"
"acc_4_217_520","Manuela Malasaña","2","est_4_217"
"acc_4_217_521","Ascensor","2","est_4_217"
"acc_4_218_522","Avda. de Pablo Iglesias","2","est_4_218"
"acc_4_218_523","Pza. de la Concordia","2","est_4_218"
"acc_4_218_524","Ascensor","2","est_4_218"
"acc_4_219_525","Cº del Molino - Hospital","2","est_4_219"
"acc_4_219_526","Cº del Molino - Universidad","2","est_4_219"
"acc_4_219_527","Ascensor","2","est_4_219"
"acc_4_21_70","Albufera pares","2","est_4_21"
"acc_4_21_71","Rogelio Folgueras","2","est_4_21"
"acc_4_21_72","Albufera impares","2","est_4_21"
"acc_4_21_73","Teniente Muñoz Díaz","2","est_4_21"
"acc_4_220_528","Francia","2","est_4_220"
"acc_4_220_529","Ascensor","2","est_4_220"
"acc_4_221_530","Pº de la Estación","2","est_4_221"
"acc_4_221_531","Ascensor no acceso independiente","2","est_4_221"
"acc_4_221_589","Paseo de Roma","2","est_4_221"
"acc_4_221_590","Ascensor exterior RENFE","2","est_4_221"
"acc_4_222_532","Avda. de los Estados","2","est_4_222"
"acc_4_222_533","La Habana","2","est_4_222"
"acc_4_222_534","Ascensor","2","est_4_222"
"acc_4_223_535","Las Ciencias","2","est_4_223"
"acc_4_223_536","Ascensor","2","est_4_223"
"acc_4_224_537","Senda de Mafalda","2","est_4_224"
"acc_4_224_538","Ascensor","2","est_4_224"
"acc_4_225_539","Ferrocarril - El Greco","2","est_4_225"
"acc_4_225_540","Ascensor","2","est_4_225"
"acc_4_226_543","Paseo del Ferrocarril","2","est_4_226"
"acc_4_226_544","Ramon y Cajal","2","est_4_226"
"acc_4_226_545","Ascensor exterior RENFE 1","2","est_4_226"
"acc_4_227_546","Avda. de España pares","2","est_4_227"
"acc_4_227_547","Avda. de España impares","2","est_4_227"
"acc_4_227_548","Ascensor","2","est_4_227"
"acc_4_228_1084","C. Gitanilla","2","est_4_228"
"acc_4_228_1085","Ascensor","2","est_4_228"
"acc_4_228_549","Avda. del Casar","2","est_4_228"
"acc_4_228_550","Ascensor","2","est_4_228"
"acc_4_229_551","Avda. de Rigoberta Menchú","2","est_4_229"
"acc_4_229_552","Ascensor","2","est_4_229"
"acc_4_22_74","Pío Felipe","2","est_4_22"
"acc_4_22_75","Buenos Aires","2","est_4_22"
"acc_4_230_553","El Bercial","2","est_4_230"
"acc_4_231_555","Avda. Rey Juan Carlos I pares","2","est_4_231"
"acc_4_231_556","Avda. Rey Juan Carlos I impares","2","est_4_231"
"acc_4_231_557","Ascensor","2","est_4_231"
"acc_4_232_558","Avda. Rey Juan Carlos I pares","2","est_4_232"
"acc_4_232_559","Avda. Rey Juan Carlos I impares","2","est_4_232"
"acc_4_232_560","Ascensor","2","est_4_232"
"acc_4_233_561","Casa del Reloj","2","est_4_233"
"acc_4_233_562","Avda. de Gibraltar impares","2","est_4_233"
"acc_4_233_563","Ascensor","2","est_4_233"
"acc_4_234_564","Avda. de Orellana","2","est_4_234"
"acc_4_234_565","Hospital Severo Ochoa","2","est_4_234"
"acc_4_234_566","Ascensor","2","est_4_234"
"acc_4_235_567","Avda. del Cobre","2","est_4_235"
"acc_4_235_568","Ascensor","2","est_4_235"
"acc_4_235_592","Virgen del Camino","2","est_4_235"
"acc_4_235_593","Ascensor exterior RENFE","2","est_4_235"
"acc_4_236_569","Avda. del Mar Mediterráneo","2","est_4_236"
"acc_4_236_570","La Encina","2","est_4_236"
"acc_4_236_571","Ascensor","2","est_4_236"
"acc_4_23_76","Albufera impares","2","est_4_23"
"acc_4_23_77","Albufera pares","2","est_4_23"
